1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
92,98,1,67,72,77,82,87,93,99,2,68,73,78,83,88,94,100,3,7,11,43,46,49,52,55,58,61,64,69,74,79,84,89,95,101,4,8,12,44,47,50,53,56,59,62,65,70,75,80,85,90,96,102,5,9,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,45,48,51,54,57,60,63,66,71,76,81,86,91,97,103,6,10,14,16,18,20,22,24
1.008,4.0026022,6.94,9.01218315,10.81,12.011,14.007,15.999,18.99840316,20.17976,22.98976928,24.305,26.98153857,28.085,30.973762,32.06,35.45,39.9481,39.09831,40.0784,44.9559085,47.8671,50.94151,51.99616,54.9380443,55.8452,58.9331944,58.69344,63.5463,65.382,69.7231,72.6308,74.9215956,78.9718,79.904,83.7982,85.46783,87.621,88.905842,91.2242,92.906372,95.951,98.906,101.072,102.905502,106.421,107.86822,112.4144,114.8181,118.7107,121.7601,127.603,126.904473,131.2936,132.905452,137.3277,138.905477,140.1161,140.907662,144.2423,145,150.362,151.9641,157.253,158.925352,162.5001,164.930332,167.2593,168.934222,173.0451,174.96681,178.492,180.947882,183.841,186.2071,190.233,192.2173,195.0849,196.9665695,200.5923,204.38,207.21,208.980401,208.98,209.99,222.02,223.02,226.03,227.03,232.03774,231.035882,238.028913,237.05,244.06
14.01,0,453.69,1560,2349,3800,63.15,54.36,53.53,24.56,370.87,923,933.47,1687,317.3,388.36,171.6,83.8,336.53,1115,1814,1941,2183,2180,1519,1811,1768,1728,1357.77,692.88,302.9146,1211.4,1090,453,265.8,115.79,312.46,1050,1799,2128,2750,2896,2430,2607,2237,1828.05,1234.93,594.22,429.75,505.08,903.78,722.66,386.85,161.4,301.59,1000,1193,1068,1208,1297,1315,1345,1099,1585,1629,1680,1734,1802,1818,1097,1925,2506,3290,3695,3459,3306,2719,2041.4,1337.33,234.43,577,600.61,544.7,527,575,202,300,973,1323,2115,1841,1405.3,917,912.5
1,18,1,2,13,14,15,16,17,18,1,2,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,3,3,3,3,3
1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
31,28,128,96,84,76,71,66,57,58,166,141,121,111,107,105,102,106,203,176,170,160,153,139,139,132,126,124,132,122,122,120,119,120,120,116,220,195,190,175,164,154,147,146,142,139,145,144,142,139,139,138,139,140,244,215,207,204,203,201,199,198,198,196,194,192,192,189,190,187,187,175,170,162,151,144,141,136,136,132,145,146,148,140,150,150,260,221,215,206,200,196,190,187
2.2,5.5,0.97,1.47,2.01,2.5,3.07,3.5,4.1,4.84,1.01,1.23,1.47,1.74,2.06,2.44,2.83,3.2,0.91,1.04,1.2,1.32,1.45,1.56,1.6,1.64,1.7,1.75,1.75,1.66,1.82,2.02,2.2,2.48,2.74,2.94,0.89,0.99,1.11,1.22,1.23,1.3,1.36,1.42,1.45,1.35,1.42,1.46,1.49,1.72,1.82,2.01,2.21,2.4,0.86,0.97,1.08,1.08,1.07,1.07,1.07,1.07,1.01,1.11,1.1,1.1,1.1,1.11,1.11,1.06,1.14,1.23,1.33,1.4,1.46,1.52,1.55,1.44,1.42,1.44,1.44,1.55,1.67,1.76,1.9,2.06,0.86,0.97,1,1.11,1.14,1.22,1.22,1.22
1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
0,0,0,0,1,2,3,4,5,6,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,6,7,8,10,10,10,10,10,10,10,10,0,0,1,2,4,5,5,7,8,10,10,10,10,10,10,10,10,10,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,4,5,6,7,9,10,10,10,10,10,10,10,10,0,0,1,2,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,6,7,7,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,2,3,4,6
1,2,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,1,2,3,4,5,6,7,8
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,4,3,2,1,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,5,5,4,3,2,0,0,0,0,0,0,0,0,0,0,9,8,6,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,9,8,7,6,5,4,3,1,0,0,0,0,0,0,0,0,0,0,9,8,9,9,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,10,9,8,7,7,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,10,8
1,0,1,0,5,4,3,2,1,0,1,0,5,4,3,2,1,0,1,0,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,1,0,9,8,7,6,5,4,3,0,1,0,5,4,3,2,1,0,1,0,9,22,11,10,9,8,7,16,5,4,3,2,1,0,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,1,0,9,8,21,20,19,8
6.424,9.909,18.191,7.91,7.196,14.606,15.491,9.601,9.418,22.212,33.414,22.915,16.483,20.413,23.817,28.066,27.944,32.432,71.908,40.328,23.976,16.792,13.169,11.321,10.684,11.191,10.833,10.699,11.746,15.177,20.091,23.856,22.675,27.203,31.522,43.079,89.571,53.94,32.293,23.446,18.26,15.8,14.479,13.742,13.986,15.158,17.657,21.851,26.682,36.211,31.678,34.919,43.91,59.684,115.83,63.442,36.726,37.549,35.932,34.986,0,33.685,40.371,32.303,31.793,31.177,30.622,30.434,29.933,36.84,29.034,22.351,18.23,16.14,14.854,14.24,14.465,15.54,17.728,27.1,30.359,31.16,36.082,0,0,0,0,0,44.87,32.121,25.384,19.986,18.366,17.747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,-0.001,0.002,0.001,0.096,2.182,1.622,0.607,0,0,0,0,0,0,0,0,0,0,0.051,0,-0.001,0,0.002,-0.001,-0.014,0,0,0,0,0,0,0,0,0,0,0,-0.113,-0.004,0.019,0.028,0,-0.017,0,-0.008,0.004,0.016,0.008,0.004,0.012,0,0.046,-0.009,0,0,0,0,0.003,0.022,0,0,0,0,0,0,0,0,0,0,0.018,-0.008,0.004,0.001,0,0.356
7.225,18.39,0,0,1.53,0,6.555,0.959,1.657,11.657,0,0,0,0.773,1.854,2.357,2.661,8.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881,1.349,7.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464,0.977,6.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,225,166,194,166,166,205,12,15,225,194,63,225,227,2,4,64,194,194,225,194,191,229,229,217,229,225,225,225,194,64,227,166,152,64,194,194,225,194,194,229,229,194,194,225,225,194,194,139,227,166,152,64,225,194,229,194,194,194,194,0,194,229,194,166,166,166,194,194,225,194,194,229,229,194,194,225,225,225,12,194,225,166,0,0,0,0,0,225,139,225,63,62,6
