1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
92.0,98.0,1.0,67.0,72.0,77.0,82.0,87.0,93.0,99.0,2.0,68.0,73.0,78.0,83.0,88.0,94.0,100.0,3.0,7.0,11.0,43.0,46.0,49.0,52.0,55.0,58.0,61.0,64.0,69.0,74.0,79.0,84.0,89.0,95.0,101.0,4.0,8.0,12.0,44.0,47.0,50.0,53.0,56.0,59.0,62.0,65.0,70.0,75.0,80.0,85.0,90.0,96.0,102.0,5.0,9.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,27.0,29.0,31.0,33.0,35.0,37.0,39.0,41.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0,66.0,71.0,76.0,81.0,86.0,91.0,97.0,103.0,6.0,10.0,14.0,16.0,18.0,20.0,22.0,24.0
1.008,4.0026022,6.94,9.01218315,10.81,12.011,14.007,15.999,18.99840316,20.17976,22.98976928,24.305,26.98153857,28.085,30.973762,32.06,35.45,39.9481,39.09831,40.0784,44.9559085,47.8671,50.94151,51.99616,54.9380443,55.8452,58.9331944,58.69344,63.5463,65.382,69.7231,72.6308,74.9215956,78.9718,79.904,83.7982,85.46783,87.621,88.905842,91.2242,92.906372,95.951,98.906,101.072,102.905502,106.421,107.86822,112.4144,114.8181,118.7107,121.7601,127.603,126.904473,131.2936,132.905452,137.3277,138.905477,140.1161,140.907662,144.2423,145.0,150.362,151.9641,157.253,158.925352,162.5001,164.930332,167.2593,168.934222,173.0451,174.96681,178.492,180.947882,183.841,186.2071,190.233,192.2173,195.0849,196.9665695,200.5923,204.38,207.21,208.980401,208.98,209.99,222.02,223.02,226.03,227.03,232.03774,231.035882,238.028913,237.05,244.06
14.01,0.0,453.69,1560.0,2349.0,3800.0,63.15,54.36,53.53,24.56,370.87,923.0,933.47,1687.0,317.3,388.36,171.6,83.8,336.53,1115.0,1814.0,1941.0,2183.0,2180.0,1519.0,1811.0,1768.0,1728.0,1357.77,692.88,302.9146,1211.4,1090.0,453.0,265.8,115.79,312.46,1050.0,1799.0,2128.0,2750.0,2896.0,2430.0,2607.0,2237.0,1828.05,1234.93,594.22,429.75,505.08,903.78,722.66,386.85,161.4,301.59,1000.0,1193.0,1068.0,1208.0,1297.0,1315.0,1345.0,1099.0,1585.0,1629.0,1680.0,1734.0,1802.0,1818.0,1097.0,1925.0,2506.0,3290.0,3695.0,3459.0,3306.0,2719.0,2041.4,1337.33,234.43,577.0,600.61,544.7,527.0,575.0,202.0,300.0,973.0,1323.0,2115.0,1841.0,1405.3,917.0,912.5
1.0,18.0,1.0,2.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
31.0,28.0,128.0,96.0,84.0,76.0,71.0,66.0,57.0,58.0,166.0,141.0,121.0,111.0,107.0,105.0,102.0,106.0,203.0,176.0,170.0,160.0,153.0,139.0,139.0,132.0,126.0,124.0,132.0,122.0,122.0,120.0,119.0,120.0,120.0,116.0,220.0,195.0,190.0,175.0,164.0,154.0,147.0,146.0,142.0,139.0,145.0,144.0,142.0,139.0,139.0,138.0,139.0,140.0,244.0,215.0,207.0,204.0,203.0,201.0,199.0,198.0,198.0,196.0,194.0,192.0,192.0,189.0,190.0,187.0,187.0,175.0,170.0,162.0,151.0,144.0,141.0,136.0,136.0,132.0,145.0,146.0,148.0,140.0,150.0,150.0,260.0,221.0,215.0,206.0,200.0,196.0,190.0,187.0
2.2,5.5,0.97,1.47,2.01,2.5,3.07,3.5,4.1,4.84,1.01,1.23,1.47,1.74,2.06,2.44,2.83,3.2,0.91,1.04,1.2,1.32,1.45,1.56,1.6,1.64,1.7,1.75,1.75,1.66,1.82,2.02,2.2,2.48,2.74,2.94,0.89,0.99,1.11,1.22,1.23,1.3,1.36,1.42,1.45,1.35,1.42,1.46,1.49,1.72,1.82,2.01,2.21,2.4,0.86,0.97,1.08,1.08,1.07,1.07,1.07,1.07,1.01,1.11,1.1,1.1,1.1,1.11,1.11,1.06,1.14,1.23,1.33,1.4,1.46,1.52,1.55,1.44,1.42,1.44,1.44,1.55,1.67,1.76,1.9,2.06,0.86,0.97,1.0,1.11,1.14,1.22,1.22,1.22
1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,6.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,2.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,6.0,7.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,6.0
1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,7.0,5.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,6.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,9.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,10.0,9.0,8.0,7.0,7.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,10.0,8.0
1.0,0.0,1.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,0.0,1.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,9.0,22.0,11.0,10.0,9.0,8.0,7.0,16.0,5.0,4.0,3.0,2.0,1.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,9.0,8.0,21.0,20.0,19.0,8.0
6.424,9.909,18.191,7.91,7.196,14.606,15.491,9.601,9.418,22.212,33.414,22.915,16.483,20.413,23.817,28.066,27.944,32.432,71.908,40.328,23.976,16.792,13.169,11.321,10.684,11.191,10.833,10.699,11.746,15.177,20.091,23.856,22.675,27.203,31.522,43.079,89.571,53.94,32.293,23.446,18.26,15.8,14.479,13.742,13.986,15.158,17.657,21.851,26.682,36.211,31.678,34.919,43.91,59.684,115.83,63.442,36.726,37.549,35.932,34.986,0.0,33.685,40.371,32.303,31.793,31.177,30.622,30.434,29.933,36.84,29.034,22.351,18.23,16.14,14.854,14.24,14.465,15.54,17.728,27.1,30.359,31.16,36.082,0.0,0.0,0.0,0.0,0.0,44.87,32.121,25.384,19.986,18.366,17.747
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,-0.001,0.002,0.001,0.096,2.182,1.622,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,-0.001,0.0,0.002,-0.001,-0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.113,-0.004,0.019,0.028,0.0,-0.017,0.0,-0.008,0.004,0.016,0.008,0.004,0.012,0.0,0.046,-0.009,0.0,0.0,0.0,0.0,0.003,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,-0.008,0.004,0.001,0.0,0.356
7.225,18.39,0.0,0.0,1.53,0.0,6.555,0.959,1.657,11.657,0.0,0.0,0.0,0.773,1.854,2.357,2.661,8.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881,1.349,7.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464,0.977,6.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.0,225.0,166.0,194.0,166.0,166.0,205.0,12.0,15.0,225.0,194.0,63.0,225.0,227.0,2.0,4.0,64.0,194.0,194.0,225.0,194.0,191.0,229.0,229.0,217.0,229.0,225.0,225.0,225.0,194.0,64.0,227.0,166.0,152.0,64.0,194.0,194.0,225.0,194.0,194.0,229.0,229.0,194.0,194.0,225.0,225.0,194.0,194.0,139.0,227.0,166.0,152.0,64.0,225.0,194.0,229.0,194.0,194.0,194.0,194.0,0.0,194.0,229.0,194.0,166.0,166.0,166.0,194.0,194.0,225.0,194.0,194.0,229.0,229.0,194.0,194.0,225.0,225.0,225.0,12.0,194.0,225.0,166.0,0.0,0.0,0.0,0.0,0.0,225.0,139.0,225.0,63.0,62.0,6.0
