trial_index,pair,sublattice,element,Z,frac_on_site,stoich_count,zt,formula
0,83 × 52-34,A,Bi,83,1.0,2.0,0.611825,(Bi1.00)2(Te0.84Se0.16)3
0,83 × 52-34,X,Te,52,0.84,2.52,0.611825,(Bi1.00)2(Te0.84Se0.16)3
0,83 × 52-34,X,Se,34,0.16,0.48,0.611825,(Bi1.00)2(Te0.84Se0.16)3
1,83 × 52-34,A,Bi,83,1.0,2.0,0.588126,(Bi1.00)2(Te0.90Se0.10)3
1,83 × 52-34,X,Te,52,0.9,2.7,0.588126,(Bi1.00)2(Te0.90Se0.10)3
1,83 × 52-34,X,Se,34,0.09999999999999999,0.3,0.588126,(Bi1.00)2(Te0.90Se0.10)3
2,83-51 × 52,A,Bi,83,0.96,1.92,0.492598,(Bi0.96Sb0.04)2(Te1.00)3
2,83-51 × 52,A,Sb,51,0.04,0.08,0.492598,(Bi0.96Sb0.04)2(Te1.00)3
2,83-51 × 52,X,Te,52,1.0,3.0,0.492598,(Bi0.96Sb0.04)2(Te1.00)3
3,83-50-49 × 34,A,Bi,83,0.88,1.76,0.11299282053982829,(Bi0.88Sn0.12In0.00)2(Se1.00)3
3,83-50-49 × 34,A,Sn,50,0.12,0.24,0.11299282053982829,(Bi0.88Sn0.12In0.00)2(Se1.00)3
3,83-50-49 × 34,A,In,49,0.0,0.0,0.11299282053982829,(Bi0.88Sn0.12In0.00)2(Se1.00)3
3,83-50-49 × 34,X,Se,34,1.0,3.0,0.11299282053982829,(Bi0.88Sn0.12In0.00)2(Se1.00)3
4,51-49 × 16,A,Sb,51,0.84,1.68,-0.16768229765176906,(Sb0.84In0.16)2(S1.00)3
4,51-49 × 16,A,In,49,0.16,0.32,-0.16768229765176906,(Sb0.84In0.16)2(S1.00)3
4,51-49 × 16,X,S,16,1.0,3.0,-0.16768229765176906,(Sb0.84In0.16)2(S1.00)3
5,50 × 16,A,Sn,50,1.0,2.0,0.04698555398680404,(Sn1.00)2(S1.00)3
5,50 × 16,X,S,16,1.0,3.0,0.04698555398680404,(Sn1.00)2(S1.00)3
6,49 × 16,A,In,49,1.0,2.0,-0.03586400595774858,(In1.00)2(S1.00)3
6,49 × 16,X,S,16,1.0,3.0,-0.03586400595774858,(In1.00)2(S1.00)3
7,50-82-49 × 34,A,Sn,50,0.4,0.8,-0.0016490641791083727,(Sn0.40Pb0.40In0.20)2(Se1.00)3
7,50-82-49 × 34,A,Pb,82,0.4,0.8,-0.0016490641791083727,(Sn0.40Pb0.40In0.20)2(Se1.00)3
7,50-82-49 × 34,A,In,49,0.2,0.4,-0.0016490641791083727,(Sn0.40Pb0.40In0.20)2(Se1.00)3
7,50-82-49 × 34,X,Se,34,1.0,3.0,-0.0016490641791083727,(Sn0.40Pb0.40In0.20)2(Se1.00)3
8,51-82 × 34-16,A,Sb,51,0.7,1.4,0.005664324904913032,(Sb0.70Pb0.30)2(Se0.50S0.50)3
8,51-82 × 34-16,A,Pb,82,0.3,0.6,0.005664324904913032,(Sb0.70Pb0.30)2(Se0.50S0.50)3
8,51-82 × 34-16,X,Se,34,0.5,1.5,0.005664324904913032,(Sb0.70Pb0.30)2(Se0.50S0.50)3
8,51-82 × 34-16,X,S,16,0.5,1.5,0.005664324904913032,(Sb0.70Pb0.30)2(Se0.50S0.50)3
9,83-82 × 16,A,Bi,83,0.7,1.4,0.08272283432605915,(Bi0.70Pb0.30)2(S1.00)3
9,83-82 × 16,A,Pb,82,0.3,0.6,0.08272283432605915,(Bi0.70Pb0.30)2(S1.00)3
9,83-82 × 16,X,S,16,1.0,3.0,0.08272283432605915,(Bi0.70Pb0.30)2(S1.00)3
10,51-49 × 34-16,A,Sb,51,0.96,1.92,0.1399363470920198,(Sb0.96In0.04)2(Se1.00S0.00)3
10,51-49 × 34-16,A,In,49,0.04,0.08,0.1399363470920198,(Sb0.96In0.04)2(Se1.00S0.00)3
10,51-49 × 34-16,X,Se,34,1.0,3.0,0.1399363470920198,(Sb0.96In0.04)2(Se1.00S0.00)3
10,51-49 × 34-16,X,S,16,0.0,0.0,0.1399363470920198,(Sb0.96In0.04)2(Se1.00S0.00)3
11,83 × 52-34,A,Bi,83,1.0,2.0,0.3940753388380306,(Bi1.00)2(Te0.42Se0.58)3
11,83 × 52-34,X,Te,52,0.42,1.26,0.3940753388380306,(Bi1.00)2(Te0.42Se0.58)3
11,83 × 52-34,X,Se,34,0.58,1.74,0.3940753388380306,(Bi1.00)2(Te0.42Se0.58)3
12,83 × 52-34,A,Bi,83,1.0,2.0,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
12,83 × 52-34,X,Te,52,0.9199999999999999,2.76,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
12,83 × 52-34,X,Se,34,0.08,0.24,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
13,83 × 52-34,A,Bi,83,1.0,2.0,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
13,83 × 52-34,X,Te,52,0.9199999999999999,2.76,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
13,83 × 52-34,X,Se,34,0.08,0.24,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
14,83 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
14,83 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
14,83 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
15,83 × 52-34,A,Bi,83,1.0,2.0,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
15,83 × 52-34,X,Te,52,0.9199999999999999,2.76,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
15,83 × 52-34,X,Se,34,0.08,0.24,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
16,83 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3
16,83 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3
17,83 × 52-34,A,Bi,83,1.0,2.0,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
17,83 × 52-34,X,Te,52,0.9,2.7,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
17,83 × 52-34,X,Se,34,0.09999999999999999,0.3,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
18,83 × 52-34,A,Bi,83,1.0,2.0,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
18,83 × 52-34,X,Te,52,0.9,2.7,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
18,83 × 52-34,X,Se,34,0.09999999999999999,0.3,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
19,83 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
19,83 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
19,83 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
20,83 × 52-34,A,Bi,83,1.0,2.0,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
20,83 × 52-34,X,Te,52,0.9,2.7,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
20,83 × 52-34,X,Se,34,0.09999999999999999,0.3,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
21,83-51 × 52,A,Bi,83,0.9,1.8,0.24030340926083188,(Bi0.90Sb0.10)2(Te1.00)3
21,83-51 × 52,A,Sb,51,0.1,0.2,0.24030340926083188,(Bi0.90Sb0.10)2(Te1.00)3
21,83-51 × 52,X,Te,52,1.0,3.0,0.24030340926083188,(Bi0.90Sb0.10)2(Te1.00)3
22,83 × 52-34,A,Bi,83,1.0,2.0,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
22,83 × 52-34,X,Te,52,0.9199999999999999,2.76,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
22,83 × 52-34,X,Se,34,0.08,0.24,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
23,83-51 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00Sb0.00)2(Te1.00)3
23,83-51 × 52,A,Sb,51,0.0,0.0,0.193306631144729,(Bi1.00Sb0.00)2(Te1.00)3
23,83-51 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00Sb0.00)2(Te1.00)3
24,83 × 52,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00)3
24,83 × 52,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00)3
25,83 × 52-34,A,Bi,83,1.0,2.0,0.4583352601174181,(Bi1.00)2(Te0.94Se0.06)3
25,83 × 52-34,X,Te,52,0.94,2.82,0.4583352601174181,(Bi1.00)2(Te0.94Se0.06)3
25,83 × 52-34,X,Se,34,0.06,0.18,0.4583352601174181,(Bi1.00)2(Te0.94Se0.06)3
26,83 × 52-34,A,Bi,83,1.0,2.0,0.4258462992962974,(Bi1.00)2(Te0.86Se0.14)3
26,83 × 52-34,X,Te,52,0.86,2.58,0.4258462992962974,(Bi1.00)2(Te0.86Se0.14)3
26,83 × 52-34,X,Se,34,0.13999999999999999,0.42,0.4258462992962974,(Bi1.00)2(Te0.86Se0.14)3
27,83 × 34-16,A,Bi,83,1.0,2.0,0.12706001716011164,(Bi1.00)2(Se0.96S0.04)3
27,83 × 34-16,X,Se,34,0.96,2.88,0.12706001716011164,(Bi1.00)2(Se0.96S0.04)3
27,83 × 34-16,X,S,16,0.04,0.12,0.12706001716011164,(Bi1.00)2(Se0.96S0.04)3
28,83 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
28,83 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
28,83 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
29,83 × 52-34,A,Bi,83,1.0,2.0,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
29,83 × 52-34,X,Te,52,0.9199999999999999,2.76,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
29,83 × 52-34,X,Se,34,0.08,0.24,0.4515859183312375,(Bi1.00)2(Te0.92Se0.08)3
30,83 × 52-34,A,Bi,83,1.0,2.0,0.46288820763820804,(Bi1.00)2(Te0.96Se0.04)3
30,83 × 52-34,X,Te,52,0.96,2.88,0.46288820763820804,(Bi1.00)2(Te0.96Se0.04)3
30,83 × 52-34,X,Se,34,0.04,0.12,0.46288820763820804,(Bi1.00)2(Te0.96Se0.04)3
31,83 × 52-34,A,Bi,83,1.0,2.0,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
31,83 × 52-34,X,Te,52,0.9,2.7,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
31,83 × 52-34,X,Se,34,0.09999999999999999,0.3,0.4426680460442588,(Bi1.00)2(Te0.90Se0.10)3
32,83 × 52-34,A,Bi,83,1.0,2.0,0.0922934608995849,(Bi1.00)2(Te0.02Se0.98)3
32,83 × 52-34,X,Te,52,0.02,0.06,0.0922934608995849,(Bi1.00)2(Te0.02Se0.98)3
32,83 × 52-34,X,Se,34,0.98,2.94,0.0922934608995849,(Bi1.00)2(Te0.02Se0.98)3
33,83 × 52-34,A,Bi,83,1.0,2.0,0.3977119060557307,(Bi1.00)2(Te0.44Se0.56)3
33,83 × 52-34,X,Te,52,0.44,1.32,0.3977119060557307,(Bi1.00)2(Te0.44Se0.56)3
33,83 × 52-34,X,Se,34,0.5599999999999999,1.68,0.3977119060557307,(Bi1.00)2(Te0.44Se0.56)3
34,83 × 52-34,A,Bi,83,1.0,2.0,0.40913040969463194,(Bi1.00)2(Te0.68Se0.32)3
34,83 × 52-34,X,Te,52,0.68,2.04,0.40913040969463194,(Bi1.00)2(Te0.68Se0.32)3
34,83 × 52-34,X,Se,34,0.32,0.96,0.40913040969463194,(Bi1.00)2(Te0.68Se0.32)3
35,83 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
35,83 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
35,83 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
36,83 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
36,83 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
36,83 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
37,83 × 52-34,A,Bi,83,1.0,2.0,0.0922934608995849,(Bi1.00)2(Te0.02Se0.98)3
37,83 × 52-34,X,Te,52,0.02,0.06,0.0922934608995849,(Bi1.00)2(Te0.02Se0.98)3
37,83 × 52-34,X,Se,34,0.98,2.94,0.0922934608995849,(Bi1.00)2(Te0.02Se0.98)3
38,83 × 52-34,A,Bi,83,1.0,2.0,0.4258462992962974,(Bi1.00)2(Te0.86Se0.14)3
38,83 × 52-34,X,Te,52,0.86,2.58,0.4258462992962974,(Bi1.00)2(Te0.86Se0.14)3
38,83 × 52-34,X,Se,34,0.13999999999999999,0.42,0.4258462992962974,(Bi1.00)2(Te0.86Se0.14)3
39,83 × 52-34,A,Bi,83,1.0,2.0,0.46288820763820804,(Bi1.00)2(Te0.96Se0.04)3
39,83 × 52-34,X,Te,52,0.96,2.88,0.46288820763820804,(Bi1.00)2(Te0.96Se0.04)3
39,83 × 52-34,X,Se,34,0.04,0.12,0.46288820763820804,(Bi1.00)2(Te0.96Se0.04)3
40,83 × 52-34,A,Bi,83,1.0,2.0,0.193306631144729,(Bi1.00)2(Te1.00Se0.00)3
40,83 × 52-34,X,Te,52,1.0,3.0,0.193306631144729,(Bi1.00)2(Te1.00Se0.00)3
40,83 × 52-34,X,Se,34,0.0,0.0,0.193306631144729,(Bi1.00)2(Te1.00Se0.00)3
41,83 × 52-34,A,Bi,83,1.0,2.0,0.3739839082558176,(Bi1.00)2(Te0.34Se0.66)3
41,83 × 52-34,X,Te,52,0.34,1.02,0.3739839082558176,(Bi1.00)2(Te0.34Se0.66)3
41,83 × 52-34,X,Se,34,0.66,1.98,0.3739839082558176,(Bi1.00)2(Te0.34Se0.66)3
42,83 × 52-34,A,Bi,83,1.0,2.0,0.21096164911914786,(Bi1.00)2(Te0.22Se0.78)3
42,83 × 52-34,X,Te,52,0.22,0.66,0.21096164911914786,(Bi1.00)2(Te0.22Se0.78)3
42,83 × 52-34,X,Se,34,0.7799999999999999,2.34,0.21096164911914786,(Bi1.00)2(Te0.22Se0.78)3
43,83-82 × 52-34,A,Bi,83,0.7,1.4,0.08676700082701105,(Bi0.70Pb0.30)2(Te0.12Se0.88)3
43,83-82 × 52-34,A,Pb,82,0.3,0.6,0.08676700082701105,(Bi0.70Pb0.30)2(Te0.12Se0.88)3
43,83-82 × 52-34,X,Te,52,0.12,0.36,0.08676700082701105,(Bi0.70Pb0.30)2(Te0.12Se0.88)3
43,83-82 × 52-34,X,Se,34,0.88,2.64,0.08676700082701105,(Bi0.70Pb0.30)2(Te0.12Se0.88)3
44,83 × 52-34,A,Bi,83,1.0,2.0,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
44,83 × 52-34,X,Te,52,0.88,2.64,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
44,83 × 52-34,X,Se,34,0.12,0.36,0.4341936562859043,(Bi1.00)2(Te0.88Se0.12)3
45,83-51 × 52,A,Bi,83,0.04,0.08,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
45,83-51 × 52,A,Sb,51,0.96,1.92,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
45,83-51 × 52,X,Te,52,1.0,3.0,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
46,83-51 × 52,A,Bi,83,0.12,0.24,0.9130358053610528,(Bi0.12Sb0.88)2(Te1.00)3
46,83-51 × 52,A,Sb,51,0.88,1.76,0.9130358053610528,(Bi0.12Sb0.88)2(Te1.00)3
46,83-51 × 52,X,Te,52,1.0,3.0,0.9130358053610528,(Bi0.12Sb0.88)2(Te1.00)3
47,51-50 × 52,A,Sb,51,0.7,1.4,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
47,51-50 × 52,A,Sn,50,0.3,0.6,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
47,51-50 × 52,X,Te,52,1.0,3.0,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
48,83-51 × 52,A,Bi,83,0.32,0.64,0.8433303526255901,(Bi0.32Sb0.68)2(Te1.00)3
48,83-51 × 52,A,Sb,51,0.68,1.36,0.8433303526255901,(Bi0.32Sb0.68)2(Te1.00)3
48,83-51 × 52,X,Te,52,1.0,3.0,0.8433303526255901,(Bi0.32Sb0.68)2(Te1.00)3
49,51-50 × 52,A,Sb,51,0.7,1.4,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
49,51-50 × 52,A,Sn,50,0.3,0.6,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
49,51-50 × 52,X,Te,52,1.0,3.0,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
50,83 × 52-34,A,Bi,83,1.0,2.0,0.4184047347985545,(Bi1.00)2(Te0.78Se0.22)3
50,83 × 52-34,X,Te,52,0.7799999999999999,2.34,0.4184047347985545,(Bi1.00)2(Te0.78Se0.22)3
50,83 × 52-34,X,Se,34,0.22,0.66,0.4184047347985545,(Bi1.00)2(Te0.78Se0.22)3
51,83-51-82 × 52,A,Bi,83,0.98,1.96,0.20769824459076192,(Bi0.98Sb0.02Pb0.00)2(Te1.00)3
51,83-51-82 × 52,A,Sb,51,0.02,0.04,0.20769824459076192,(Bi0.98Sb0.02Pb0.00)2(Te1.00)3
