trial_index,arm_name,cat_set,an_set,formula,zt
0,0_0,83,52-34,(Bi1.00)2(Te0.84Se0.16)3,0.611825
1,1_0,83,52-34,(Bi1.00)2(Te0.90Se0.10)3,0.588126
2,2_0,83-51,52,(Bi0.96Sb0.04)2(Te1.00)3,0.492598
3,3_0,83-50-49,34,(Bi0.88Sn0.12In0.00)2(Se1.00)3,0.11299282053982829
4,4_0,51-49,16,(Sb0.84In0.16)2(S1.00)3,-0.16768229765176906
5,5_0,50,16,(Sn1.00)2(S1.00)3,0.04698555398680404
6,6_0,49,16,(In1.00)2(S1.00)3,-0.03586400595774858
7,7_0,50-82-49,34,(Sn0.40Pb0.40In0.20)2(Se1.00)3,-0.0016490641791083727
8,8_0,51-82,34-16,(Sb0.70Pb0.30)2(Se0.50S0.50)3,0.005664324904913032
9,9_0,83-82,16,(Bi0.70Pb0.30)2(S1.00)3,0.08272283432605915
10,10_0,51-49,34-16,(Sb0.96In0.04)2(Se1.00S0.00)3,0.1399363470920198
11,11_0,83,52-34,(Bi1.00)2(Te0.42Se0.58)3,0.3940753388380306
12,12_0,83,52-34,(Bi1.00)2(Te0.92Se0.08)3,0.4515859183312375
13,13_0,83,52-34,(Bi1.00)2(Te0.92Se0.08)3,0.4515859183312375
14,14_0,83,52-34,(Bi1.00)2(Te0.88Se0.12)3,0.4341936562859043
15,15_0,83,52-34,(Bi1.00)2(Te0.92Se0.08)3,0.4515859183312375
16,16_0,83,52,(Bi1.00)2(Te1.00)3,0.193306631144729
17,17_0,83,52-34,(Bi1.00)2(Te0.90Se0.10)3,0.4426680460442588
18,18_0,83,52-34,(Bi1.00)2(Te0.90Se0.10)3,0.4426680460442588
19,19_0,83,52-34,(Bi1.00)2(Te0.88Se0.12)3,0.4341936562859043
20,20_0,83,52-34,(Bi1.00)2(Te0.90Se0.10)3,0.4426680460442588
21,21_0,83-51,52,(Bi0.90Sb0.10)2(Te1.00)3,0.24030340926083188
22,22_0,83,52-34,(Bi1.00)2(Te0.92Se0.08)3,0.4515859183312375
23,23_0,83-51,52,(Bi1.00Sb0.00)2(Te1.00)3,0.193306631144729
24,24_0,83,52,(Bi1.00)2(Te1.00)3,0.193306631144729
25,25_0,83,52-34,(Bi1.00)2(Te0.94Se0.06)3,0.4583352601174181
26,26_0,83,52-34,(Bi1.00)2(Te0.86Se0.14)3,0.4258462992962974
27,27_0,83,34-16,(Bi1.00)2(Se0.96S0.04)3,0.12706001716011164
28,28_0,83,52-34,(Bi1.00)2(Te0.88Se0.12)3,0.4341936562859043
29,29_0,83,52-34,(Bi1.00)2(Te0.92Se0.08)3,0.4515859183312375
30,30_0,83,52-34,(Bi1.00)2(Te0.96Se0.04)3,0.46288820763820804
31,31_0,83,52-34,(Bi1.00)2(Te0.90Se0.10)3,0.4426680460442588
32,32_0,83,52-34,(Bi1.00)2(Te0.02Se0.98)3,0.0922934608995849
33,33_0,83,52-34,(Bi1.00)2(Te0.44Se0.56)3,0.3977119060557307
34,34_0,83,52-34,(Bi1.00)2(Te0.68Se0.32)3,0.40913040969463194
35,35_0,83,52-34,(Bi1.00)2(Te0.88Se0.12)3,0.4341936562859043
36,36_0,83,52-34,(Bi1.00)2(Te0.88Se0.12)3,0.4341936562859043
37,37_0,83,52-34,(Bi1.00)2(Te0.02Se0.98)3,0.0922934608995849
38,38_0,83,52-34,(Bi1.00)2(Te0.86Se0.14)3,0.4258462992962974
39,39_0,83,52-34,(Bi1.00)2(Te0.96Se0.04)3,0.46288820763820804
40,40_0,83,52-34,(Bi1.00)2(Te1.00Se0.00)3,0.193306631144729
41,41_0,83,52-34,(Bi1.00)2(Te0.34Se0.66)3,0.3739839082558176
42,42_0,83,52-34,(Bi1.00)2(Te0.22Se0.78)3,0.21096164911914786
43,43_0,83-82,52-34,(Bi0.70Pb0.30)2(Te0.12Se0.88)3,0.08676700082701105
44,44_0,83,52-34,(Bi1.00)2(Te0.88Se0.12)3,0.4341936562859043
45,45_0,83-51,52,(Bi0.04Sb0.96)2(Te1.00)3,0.884716576192234
46,46_0,83-51,52,(Bi0.12Sb0.88)2(Te1.00)3,0.9130358053610528
47,47_0,51-50,52,(Sb0.70Sn0.30)2(Te1.00)3,0.34625455645103825
48,48_0,83-51,52,(Bi0.32Sb0.68)2(Te1.00)3,0.8433303526255901
49,49_0,51-50,52,(Sb0.70Sn0.30)2(Te1.00)3,0.34625455645103825
50,50_0,83,52-34,(Bi1.00)2(Te0.78Se0.22)3,0.4184047347985545
51,51_0,83-51-82,52,(Bi0.98Sb0.02Pb0.00)2(Te1.00)3,0.20769824459076192
52,52_0,83-51,52,(Bi0.10Sb0.90)2(Te1.00)3,0.9155552012497024
53,53_0,82-49,52,(Pb0.66In0.34)2(Te1.00)3,0.06528724611855113
54,54_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
55,55_0,83-51,52,(Bi0.16Sb0.84)2(Te1.00)3,0.9017857632334383
56,56_0,83-51,52,(Bi0.02Sb0.98)2(Te1.00)3,0.7506979486318122
57,57_0,83-51,52,(Bi0.10Sb0.90)2(Te1.00)3,0.9155552012497024
58,58_0,83-51,52,(Bi0.32Sb0.68)2(Te1.00)3,0.8433303526255901
59,59_0,83-51,52,(Bi0.22Sb0.78)2(Te1.00)3,0.879943632823537
60,60_0,83,52-34,(Bi1.00)2(Te1.00Se0.00)3,0.193306631144729
61,61_0,51-50-82,52,(Sb0.50Sn0.20Pb0.30)2(Te1.00)3,0.15954002551510665
62,62_0,83-51,34,(Bi0.00Sb1.00)2(Se1.00)3,0.07996757135564514
63,63_0,83-50,52,(Bi0.70Sn0.30)2(Te1.00)3,0.15272514412913982
64,64_0,83-51,52,(Bi0.26Sb0.74)2(Te1.00)3,0.8643439081847064
65,65_0,83-51-82,52,(Bi0.06Sb0.90Pb0.04)2(Te1.00)3,0.5298801196692755
66,66_0,83-51,52,(Bi0.22Sb0.78)2(Te1.00)3,0.879943632823537
67,67_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
68,68_0,83-51,52,(Bi0.14Sb0.86)2(Te1.00)3,0.9087313254656841
69,69_0,51-50,52,(Sb1.00Sn0.00)2(Te1.00)3,0.5404170989182809
70,70_0,83-51,52,(Bi0.14Sb0.86)2(Te1.00)3,0.9087313254656841
71,71_0,83-51-82,52,(Bi0.12Sb0.78Pb0.10)2(Te1.00)3,0.3439954005759355
72,72_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
73,73_0,83-51,52,(Bi0.14Sb0.86)2(Te1.00)3,0.9087313254656841
74,74_0,83-51,52,(Bi0.12Sb0.88)2(Te1.00)3,0.9130358053610528
75,75_0,82,52,(Pb1.00)2(Te1.00)3,0.08274891598381157
76,76_0,83-51,52,(Bi0.14Sb0.86)2(Te1.00)3,0.9087313254656841
77,77_0,83-51,52,(Bi0.06Sb0.94)2(Te1.00)3,0.9156942475151477
78,78_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
79,79_0,83-50-82,52,(Bi0.54Sn0.30Pb0.16)2(Te1.00)3,0.10859630006766449
80,80_0,83-51,52,(Bi0.04Sb0.96)2(Te1.00)3,0.884716576192234
81,81_0,51,52,(Sb1.00)2(Te1.00)3,0.5404170989182809
82,82_0,83-51,52,(Bi0.04Sb0.96)2(Te1.00)3,0.884716576192234
83,83_0,83-51,52,(Bi0.12Sb0.88)2(Te1.00)3,0.9130358053610528
84,84_0,83-51,52,(Bi0.06Sb0.94)2(Te1.00)3,0.9156942475151477
85,85_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
86,86_0,83-51-82,52,(Bi0.00Sb1.00Pb0.00)2(Te1.00)3,0.5404170989182809
87,87_0,83-51,52,(Bi0.80Sb0.20)2(Te1.00)3,0.3098094861728244
88,88_0,83-51,52,(Bi0.24Sb0.76)2(Te1.00)3,0.8719348446845854
89,89_0,83-51,52,(Bi0.08Sb0.92)2(Te1.00)3,0.9156094611614896
90,90_0,83-51,52,(Bi0.34Sb0.66)2(Te1.00)3,0.836095921357562
91,91_0,83-51-82,52,(Bi0.10Sb0.60Pb0.30)2(Te1.00)3,0.16854759019104434
92,92_0,83-51-82,52,(Bi0.00Sb0.88Pb0.12)2(Te1.00)3,0.4274618001127185
93,93_0,83-51,52,(Bi0.20Sb0.80)2(Te1.00)3,0.8876216200010592
94,94_0,83-51,52,(Bi0.14Sb0.86)2(Te1.00)3,0.9087313254656841
95,95_0,83-51,52,(Bi0.10Sb0.90)2(Te1.00)3,0.9155552012497024
96,96_0,83-51,52,(Bi0.72Sb0.28)2(Te1.00)3,0.42140875891786944
97,97_0,83-51,52,(Bi0.26Sb0.74)2(Te1.00)3,0.8643439081847064
98,98_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
99,99_0,83-51,52,(Bi0.20Sb0.80)2(Te1.00)3,0.8876216200010592
100,100_0,51,52,(Sb1.00)2(Te1.00)3,0.5404170989182809
101,101_0,83-51,52,(Bi0.00Sb1.00)2(Te1.00)3,0.5404170989182809
102,102_0,83-51,52,(Bi0.16Sb0.84)2(Te1.00)3,0.9017857632334383
